"external_gene_id"	"description"
"Gnai3"	"guanine nucleotide binding protein (G protein), alpha inhibiting 3 [Source:MGI Symbol;Acc:MGI:95773]"
"H19"	"H19 fetal liver mRNA [Source:MGI Symbol;Acc:MGI:95891]"
"Narf"	"nuclear prelamin A recognition factor [Source:MGI Symbol;Acc:MGI:1914858]"
"Cav2"	"caveolin 2 [Source:MGI Symbol;Acc:MGI:107571]"
"Tbx2"	"T-box 2 [Source:MGI Symbol;Acc:MGI:98494]"
"Ngfr"	"nerve growth factor receptor (TNFR superfamily, member 16) [Source:MGI Symbol;Acc:MGI:97323]"
"Fer"	"fer (fms/fps related) protein kinase [Source:MGI Symbol;Acc:MGI:105917]"
"Xpo6"	"exportin 6 [Source:MGI Symbol;Acc:MGI:2429950]"
"Axin2"	"axin2 [Source:MGI Symbol;Acc:MGI:1270862]"
"Ccnd2"	"cyclin D2 [Source:MGI Symbol;Acc:MGI:88314]"
"Mid2"	"midline 2 [Source:MGI Symbol;Acc:MGI:1344333]"
"Cdh4"	"cadherin 4 [Source:MGI Symbol;Acc:MGI:99218]"
"Dazap2"	"DAZ associated protein 2 [Source:MGI Symbol;Acc:MGI:1344344]"
"Cttnbp2"	"cortactin binding protein 2 [Source:MGI Symbol;Acc:MGI:1353467]"
"Hk2"	"hexokinase 2 [Source:MGI Symbol;Acc:MGI:1315197]"
"Spg7"	"spastic paraplegia 7 homolog (human) [Source:MGI Symbol;Acc:MGI:2385906]"
"Sult5a1"	"sulfotransferase family 5A, member 1 [Source:MGI Symbol;Acc:MGI:1931463]"
"Rpl13"	"ribosomal protein L13 [Source:MGI Symbol;Acc:MGI:105922]"
"Tcf7"	"transcription factor 7, T cell specific [Source:MGI Symbol;Acc:MGI:98507]"
"Oxa1l"	"oxidase assembly 1-like [Source:MGI Symbol;Acc:MGI:1916339]"
"Poldip2"	"polymerase (DNA-directed), delta interacting protein 2 [Source:MGI Symbol;Acc:MGI:1915061]"
"Cnnm3"	"cyclin M3 [Source:MGI Symbol;Acc:MGI:2151055]"
"Mxd1"	"MAX dimerization protein 1 [Source:MGI Symbol;Acc:MGI:96908]"
"Calm1"	"calmodulin 1 [Source:MGI Symbol;Acc:MGI:88251]"
"Sema6b"	"sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6B [Source:MGI Symbol;Acc:MGI:1202889]"
"Ckb"	"creatine kinase, brain [Source:MGI Symbol;Acc:MGI:88407]"
"Npepps"	"aminopeptidase puromycin sensitive [Source:MGI Symbol;Acc:MGI:1101358]"
"Cyp51"	"cytochrome P450, family 51 [Source:MGI Symbol;Acc:MGI:106040]"
"Sost"	"sclerostin [Source:MGI Symbol;Acc:MGI:1921749]"
"Pax9"	"paired box gene 9 [Source:MGI Symbol;Acc:MGI:97493]"
"Hoxc6"	"homeobox C6 [Source:MGI Symbol;Acc:MGI:96197]"
"Akt1"	"thymoma viral proto-oncogene 1 [Source:MGI Symbol;Acc:MGI:87986]"
"Coasy"	"Coenzyme A synthase [Source:MGI Symbol;Acc:MGI:1918993]"
"Rin2"	"Ras and Rab interactor 2 [Source:MGI Symbol;Acc:MGI:1921280]"
"Chordc1"	"cysteine and histidine-rich domain (CHORD)-containing, zinc-binding protein 1 [Source:MGI Symbol;Acc:MGI:1914167]"
"Lrp3"	"low density lipoprotein receptor-related protein 3 [Source:MGI Symbol;Acc:MGI:3584516]"
"Cpa3"	"carboxypeptidase A3, mast cell [Source:MGI Symbol;Acc:MGI:88479]"
"Grik3"	"glutamate receptor, ionotropic, kainate 3 [Source:MGI Symbol;Acc:MGI:95816]"
"Gria3"	"glutamate receptor, ionotropic, AMPA3 (alpha 3) [Source:MGI Symbol;Acc:MGI:95810]"
"Fam98a"	"family with sequence similarity 98, member A [Source:MGI Symbol;Acc:MGI:1919972]"
"Spag5"	"sperm associated antigen 5 [Source:MGI Symbol;Acc:MGI:1927470]"
"Unc119"	"unc-119 homolog (C. elegans) [Source:MGI Symbol;Acc:MGI:1328357]"
"Rapsn"	"receptor-associated protein of the synapse [Source:MGI Symbol;Acc:MGI:99422]"
"Use1"	"unconventional SNARE in the ER 1 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1914273]"
